Gene ID	Root 1 hr log2FoldChange	padj
GSBRNA2T00024827001	12.08346036	5.17E-18
GSBRNA2T00132646001	11.03134192	6.88E-12
GSBRNA2T00132439001	8.882740953	3.08E-11
GSBRNA2T00052390001	8.738073095	4.94E-08
GSBRNA2T00009926001	8.67120417	2.18E-19
GSBRNA2T00017810001	8.650415529	5.03E-10
GSBRNA2T00087396001	8.630588436	1.17E-10
GSBRNA2T00097767001	8.57540572	6.33E-11
GSBRNA2T00057053001	8.494748018	4.35E-13
GSBRNA2T00052751001	8.468962002	3.99E-12
GSBRNA2T00121422001	8.387718448	5.20E-21
GSBRNA2T00134491001	8.383960054	1.65E-10
GSBRNA2T00057370001	8.370429395	3.34E-07
GSBRNA2T00140320001	8.352028392	4.83E-09
GSBRNA2T00100059001	8.3314284	1.51E-11
GSBRNA2T00062259001	8.174472504	2.98E-11
GSBRNA2T00017498001	8.157679083	1.43E-43
GSBRNA2T00016693001	8.093968691	1.99E-07
GSBRNA2T00087922001	8.081188491	6.17E-09
GSBRNA2T00146622001	8.035865312	1.09E-09
GSBRNA2T00129904001	8.023641019	9.83E-11
GSBRNA2T00002241001	8.001393504	4.10E-08
GSBRNA2T00025117001	7.979722054	1.27E-14
GSBRNA2T00117036001	7.967227748	1.50E-16
GSBRNA2T00100565001	7.956880313	1.72E-28
GSBRNA2T00151783001	7.954058302	5.28E-09
GSBRNA2T00132238001	7.93272445	7.34E-07
GSBRNA2T00051870001	7.887552234	2.40E-06
GSBRNA2T00008163001	7.881489718	4.32E-06
GSBRNA2T00006295001	7.872388292	3.52E-06
GSBRNA2T00122925001	7.837017041	4.39E-11
GSBRNA2T00134741001	7.827301613	2.71E-12
GSBRNA2T00004329001	7.824551975	9.18E-12
GSBRNA2T00095068001	7.818196043	1.30E-15
GSBRNA2T00000822001	7.81234698	2.23E-07
GSBRNA2T00126311001	7.809846682	7.07E-08
GSBRNA2T00105472001	7.789570196	5.53E-06
GSBRNA2T00051097001	7.780340706	8.71E-11
GSBRNA2T00156503001	7.761625887	5.21E-06
GSBRNA2T00083082001	7.750326571	1.07E-13
GSBRNA2T00141261001	7.732724194	1.85E-08
GSBRNA2T00004470001	7.672942943	4.61E-11
GSBRNA2T00064655001	7.664026416	4.51E-07
GSBRNA2T00017811001	7.631185593	8.83E-06
GSBRNA2T00083489001	7.613834814	1.36E-22
GSBRNA2T00072017001	7.605501786	5.87E-11
GSBRNA2T00068232001	7.604793599	2.48E-22
GSBRNA2T00024241001	7.601911808	6.01E-12
GSBRNA2T00057653001	7.578435047	6.41E-10
GSBRNA2T00054199001	7.569858022	1.98E-06
GSBRNA2T00117039001	7.55836666	4.74E-11
GSBRNA2T00068988001	7.541615095	1.76E-05
GSBRNA2T00020948001	7.522328864	1.57E-07
GSBRNA2T00044268001	7.483822584	3.28E-08
GSBRNA2T00005388001	7.444304356	1.14E-08
GSBRNA2T00139261001	7.40915811	2.29E-07
GSBRNA2T00075176001	7.395106175	1.24E-23
GSBRNA2T00042064001	7.371384379	2.31E-07
GSBRNA2T00142450001	7.371032637	4.24E-62
GSBRNA2T00036368001	7.365592456	1.54E-18
GSBRNA2T00157104001	7.330776235	8.27E-10
GSBRNA2T00049375001	7.326009143	1.76E-12
GSBRNA2T00115257001	7.318412443	3.79E-07
GSBRNA2T00114929001	7.315041382	6.42E-06
GSBRNA2T00050295001	7.31436256	3.12E-06
GSBRNA2T00131471001	7.28934	2.42E-06
GSBRNA2T00129450001	7.255570149	2.79E-15
GSBRNA2T00080986001	7.213076039	3.12E-05
GSBRNA2T00053919001	7.200215964	1.78E-12
GSBRNA2T00077296001	7.192728566	9.76E-18
GSBRNA2T00105220001	7.185744215	2.54E-06
GSBRNA2T00092913001	7.179540946	1.92E-08
GSBRNA2T00098568001	7.171899539	5.66E-05
GSBRNA2T00047190001	7.160721253	2.60E-05
GSBRNA2T00032931001	7.147415432	4.27E-05
GSBRNA2T00016665001	7.14316391	3.99E-09
GSBRNA2T00080076001	7.140228915	1.03E-20
GSBRNA2T00090594001	7.133327198	1.81E-56
GSBRNA2T00066572001	7.08440213	8.62E-11
GSBRNA2T00155269001	7.069251331	8.31E-28
GSBRNA2T00060717001	7.06496065	2.31E-06
GSBRNA2T00029904001	7.060153287	1.42E-07
GSBRNA2T00040812001	7.058367541	2.47E-06
GSBRNA2T00092914001	7.043530494	2.90E-08
GSBRNA2T00105462001	7.034374611	7.84E-06
GSBRNA2T00105971001	7.023201802	1.66E-05
GSBRNA2T00157106001	6.99956498	1.36E-05
GSBRNA2T00008945001	6.99644711	1.51E-25
GSBRNA2T00069038001	6.988330387	6.71E-06
GSBRNA2T00000340001	6.955285563	1.88E-07
GSBRNA2T00042667001	6.947549616	2.73E-18
GSBRNA2T00021277001	6.94156324	1.48E-23
GSBRNA2T00007954001	6.931692116	8.03E-23
GSBRNA2T00112619001	6.926175518	1.14E-05
GSBRNA2T00009965001	6.919109325	8.49E-06
GSBRNA2T00022510001	6.91319463	2.13E-08
GSBRNA2T00066740001	6.894337485	7.10E-14
GSBRNA2T00098076001	6.889876506	1.91E-19
GSBRNA2T00126359001	6.879469497	8.91E-09
GSBRNA2T00040196001	6.853252741	3.05E-09
GSBRNA2T00047471001	6.850446014	4.24E-14
GSBRNA2T00010987001	6.848489959	3.38E-06
GSBRNA2T00145860001	6.844472714	6.56E-13
GSBRNA2T00140254001	6.83241777	5.61E-09
GSBRNA2T00136273001	6.813699699	1.10E-30
GSBRNA2T00040192001	6.784080615	6.21E-23
GSBRNA2T00001358001	6.775363872	1.36E-22
GSBRNA2T00105262001	6.771084005	1.61E-08
GSBRNA2T00155562001	6.743339084	1.11E-15
GSBRNA2T00086262001	6.735849889	4.72E-13
GSBRNA2T00024115001	6.731261871	2.98E-11
GSBRNA2T00029762001	6.720718468	0.000291142
GSBRNA2T00150988001	6.715665631	0.000277105
GSBRNA2T00059082001	6.706249396	1.27E-14
GSBRNA2T00129939001	6.706141058	8.76E-18
GSBRNA2T00100006001	6.664023688	0.000390595
GSBRNA2T00121557001	6.65300274	2.19E-05
GSBRNA2T00087924001	6.649480745	1.20E-05
GSBRNA2T00053141001	6.64387511	4.56E-05
GSBRNA2T00132585001	6.639093779	9.01E-05
GSBRNA2T00013445001	6.638484646	1.30E-05
GSBRNA2T00148646001	6.633831647	1.74E-05
GSBRNA2T00057482001	6.630736843	0.000220494
GSBRNA2T00044579001	6.629853629	0.000256732
GSBRNA2T00054498001	6.620104681	0.000236669
GSBRNA2T00058975001	6.611913384	3.90E-05
GSBRNA2T00031931001	6.603415606	2.82E-11
GSBRNA2T00075884001	6.600136702	4.67E-05
GSBRNA2T00121565001	6.599667528	7.00E-23
GSBRNA2T00002171001	6.598024103	9.04E-09
GSBRNA2T00138904001	6.595557585	2.99E-06
GSBRNA2T00105374001	6.594977345	2.79E-11
GSBRNA2T00111360001	6.573559507	1.86E-08
GSBRNA2T00025070001	6.57253568	4.19E-16
GSBRNA2T00115996001	6.551609383	1.29E-16
GSBRNA2T00070426001	6.548294284	1.21E-10
GSBRNA2T00107101001	6.541067902	2.91E-05
GSBRNA2T00094910001	6.540204425	8.72E-06
