Gene ID	log2FoldChange	padj
GSBRNA2T00082124001	7.141539788	7.37E-06
GSBRNA2T00057213001	6.850143158	2.27E-09
GSBRNA2T00082137001	6.846087919	2.14E-05
GSBRNA2T00040625001	6.697976227	0.000112141
GSBRNA2T00015387001	6.675751797	5.25E-15
GSBRNA2T00112283001	6.559923874	2.34E-06
GSBRNA2T00083081001	6.516569096	8.85E-11
GSBRNA2T00127562001	6.426070713	0.000226416
GSBRNA2T00015397001	6.333105615	3.86E-07
GSBRNA2T00075494001	6.09558816	8.85E-11
GSBRNA2T00017357001	5.824884641	1.11E-06
GSBRNA2T00036369001	5.656588897	0.000667984
GSBRNA2T00092555001	5.628888192	2.80E-07
GSBRNA2T00018819001	5.57311259	3.72E-23
GSBRNA2T00103647001	5.477915599	0.002401184
GSBRNA2T00138872001	5.401719084	3.16E-05
GSBRNA2T00076218001	5.330207888	0.003486085
GSBRNA2T00064166001	5.326293426	3.02E-19
GSBRNA2T00041068001	5.309439733	4.35E-09
GSBRNA2T00108020001	5.296532887	0.000451461
GSBRNA2T00015388001	5.175909818	7.98E-07
GSBRNA2T00153580001	5.137787522	0.000498197
GSBRNA2T00131747001	5.011191845	0.000299225
GSBRNA2T00156099001	4.985361803	0.002310036
GSBRNA2T00100807001	4.954697014	0.027022074
GSBRNA2T00035184001	4.937714557	0.000611295
GSBRNA2T00121572001	4.91826106	3.34E-05
GSBRNA2T00040627001	4.904240714	6.83E-05
GSBRNA2T00066650001	4.888982453	4.29E-08
GSBRNA2T00052496001	4.862107456	0.0013622
GSBRNA2T00011634001	4.851201809	0.002151584
GSBRNA2T00001741001	4.811738004	1.65E-05
GSBRNA2T00114318001	4.770041563	0.006538711
GSBRNA2T00108422001	4.765323989	7.48E-07
GSBRNA2T00018597001	4.727888281	0.000165406
GSBRNA2T00092724001	4.716557594	3.17E-05
GSBRNA2T00087321001	4.666633555	0.011028643
GSBRNA2T00155039001	4.645659373	0.005672494
GSBRNA2T00158091001	4.623074724	3.16E-09
GSBRNA2T00143754001	4.620417915	9.14E-12
GSBRNA2T00102605001	4.617982243	0.009189605
GSBRNA2T00118551001	4.612977544	0.011686108
GSBRNA2T00148754001	4.589065455	2.43E-10
GSBRNA2T00024685001	4.482711919	0.001494725
GSBRNA2T00022345001	4.45928063	0.012489112
GSBRNA2T00021427001	4.452981241	2.86E-05
GSBRNA2T00101647001	4.425392888	0.000903306
GSBRNA2T00037830001	4.423955977	1.36E-15
GSBRNA2T00044886001	4.408217231	0.000169333
GSBRNA2T00103384001	4.390750109	0.004476473
GSBRNA2T00086119001	4.357585429	0.001076248
GSBRNA2T00139262001	4.351341448	6.56E-06
GSBRNA2T00068209001	4.33388372	0.001453283
GSBRNA2T00054712001	4.316506088	0.000826298
GSBRNA2T00062501001	4.315111039	6.73E-14
GSBRNA2T00096084001	4.305411449	0.013121483
GSBRNA2T00015668001	4.279357453	0.0012434
GSBRNA2T00154503001	4.267682364	0.001479571
GSBRNA2T00003752001	4.243306577	0.002772308
GSBRNA2T00025319001	4.231330353	0.053978592
GSBRNA2T00139105001	4.210501933	1.19E-08
GSBRNA2T00120086001	4.192660807	1.55E-08
GSBRNA2T00112472001	4.18938527	0.000962464
GSBRNA2T00131682001	4.186460887	0.003879099
GSBRNA2T00107149001	4.182745018	0.000493082
GSBRNA2T00042723001	4.177177229	1.23E-05
GSBRNA2T00038073001	4.170126431	0.031089849
GSBRNA2T00111840001	4.166801976	0.004447528
GSBRNA2T00078954001	4.162760994	1.34E-05
GSBRNA2T00131132001	4.155982961	3.81E-08
GSBRNA2T00091634001	4.146868309	2.13E-10
GSBRNA2T00041986001	4.14515496	0.002690502
GSBRNA2T00112075001	4.140861158	2.43E-10
GSBRNA2T00076301001	4.135870264	6.67E-13
GSBRNA2T00110459001	4.118190484	6.70E-08
GSBRNA2T00024985001	4.113836934	0.00120916
GSBRNA2T00121489001	4.112661993	0.00725179
GSBRNA2T00093877001	4.108191369	0.001873678
GSBRNA2T00077551001	4.080418427	2.08E-11
GSBRNA2T00123499001	4.061225674	0.018675052
GSBRNA2T00117041001	4.040662209	8.82E-12
GSBRNA2T00079461001	4.039023609	4.48E-05
GSBRNA2T00063258001	4.012152296	1.89E-08
GSBRNA2T00096620001	4.006765027	0.027635548
GSBRNA2T00015276001	3.999673019	0.000318312
GSBRNA2T00075580001	3.990157934	0.011831518
GSBRNA2T00064202001	3.98872045	2.74E-07
GSBRNA2T00003275001	3.987754061	0.004617906
GSBRNA2T00144857001	3.963950052	0.000175497
GSBRNA2T00020948001	3.958598314	4.74E-12
GSBRNA2T00126964001	3.943549839	0.01950085
GSBRNA2T00069307001	3.941080127	3.72E-23
GSBRNA2T00079091001	3.939568442	2.37E-05
GSBRNA2T00076443001	3.930474151	1.61E-15
GSBRNA2T00124689001	3.927252748	6.26E-10
GSBRNA2T00124685001	3.9238184	0.00607307
GSBRNA2T00085336001	3.894871093	0.034818076
GSBRNA2T00035781001	3.891402818	0.000141714
GSBRNA2T00113459001	3.890781565	0.024225165
GSBRNA2T00086495001	3.885195652	0.007048679
GSBRNA2T00009492001	3.882979266	1.99E-05
GSBRNA2T00031489001	3.866767229	0.048077947
GSBRNA2T00104399001	3.864613322	0.024236232
GSBRNA2T00142796001	3.84186352	0.001859598
GSBRNA2T00045684001	3.834617266	0.003060766
GSBRNA2T00150196001	3.816453427	0.003585342
GSBRNA2T00134422001	3.801595127	8.72E-07
GSBRNA2T00070646001	3.794128282	0.001944405
GSBRNA2T00138575001	3.79196516	0.025205921
GSBRNA2T00014187001	3.789150973	6.54E-05
GSBRNA2T00136890001	3.78516708	0.0005242
GSBRNA2T00034643001	3.782953661	0.004305399
GSBRNA2T00064655001	3.78257961	6.70E-08
GSBRNA2T00042025001	3.776397435	7.97E-06
GSBRNA2T00155314001	3.774839432	1.67E-07
GSBRNA2T00096082001	3.744998755	1.27E-11
GSBRNA2T00019572001	3.740959097	0.005882986
GSBRNA2T00126965001	3.735264676	0.004260634
GSBRNA2T00017889001	3.725468531	0.024420049
GSBRNA2T00136074001	3.692268392	0.037398837
GSBRNA2T00054498001	3.687275392	0.000108074
GSBRNA2T00119294001	3.671019335	0.005720365
GSBRNA2T00036779001	3.666439145	0.000240161
GSBRNA2T00128863001	3.658101002	7.84E-05
GSBRNA2T00068677001	3.645178735	0.000138796
GSBRNA2T00053919001	3.641890156	3.88E-11
GSBRNA2T00037243001	3.639243306	1.43E-08
GSBRNA2T00005230001	3.637725762	9.14E-09
GSBRNA2T00127564001	3.62837003	0.006213374
GSBRNA2T00114129001	3.625909825	8.82E-12
GSBRNA2T00152253001	3.625528715	0.009412824
GSBRNA2T00105460001	3.623909049	6.74E-20
GSBRNA2T00063213001	3.619164489	0.001581644
GSBRNA2T00076128001	3.610691642	6.74E-20
GSBRNA2T00045121001	3.607570876	0.000787818
GSBRNA2T00061285001	3.600511606	2.36E-05
GSBRNA2T00097709001	3.598399163	4.48E-05
GSBRNA2T00092640001	3.595076889	2.80E-07
GSBRNA2T00107067001	3.591378967	0.006236122
GSBRNA2T00151607001	3.59059695	0.001715832
GSBRNA2T00129952001	3.590574372	0.049863542
GSBRNA2T00023414001	3.586863019	0.006274593
GSBRNA2T00157105001	3.582944644	4.08E-06
GSBRNA2T00008163001	3.568227008	3.62E-09
GSBRNA2T00026320001	3.553407318	0.021101156
GSBRNA2T00118770001	3.549787869	0.016695758
GSBRNA2T00085931001	3.538298365	7.67E-08
GSBRNA2T00100211001	3.536058617	0.004927839
GSBRNA2T00075298001	3.524203072	0.033594772
GSBRNA2T00049054001	3.516435199	0.008972434
GSBRNA2T00052214001	3.508012236	2.59E-05
GSBRNA2T00121602001	3.507855006	0.007352558
GSBRNA2T00051870001	3.507248949	5.91E-07
GSBRNA2T00151868001	3.504829322	0.003056804
GSBRNA2T00050433001	3.503366707	0.02393731
GSBRNA2T00103082001	3.490742328	6.78E-05
GSBRNA2T00080096001	3.490676147	2.62E-05
GSBRNA2T00016021001	3.489911964	1.26E-05
GSBRNA2T00021285001	3.485620906	0.000193151
GSBRNA2T00015143001	3.484732003	0.030535098
GSBRNA2T00009379001	3.484129895	0.00073391
GSBRNA2T00120710001	3.479993806	1.12E-12
GSBRNA2T00128425001	3.476464091	0.000117208
GSBRNA2T00024115001	3.470345765	3.68E-05
GSBRNA2T00014673001	3.465775146	1.72E-06
GSBRNA2T00141057001	3.462766944	2.21E-06
GSBRNA2T00010077001	3.460938868	0.051358942
GSBRNA2T00136007001	3.450109618	1.69E-05
GSBRNA2T00145900001	3.442658528	0.000913774
GSBRNA2T00095512001	3.440716938	5.63E-07
GSBRNA2T00041259001	3.435991675	2.16E-10
GSBRNA2T00049100001	3.426875121	0.012078556
GSBRNA2T00062630001	3.419104985	1.51E-05
GSBRNA2T00094034001	3.417805803	0.037864884
GSBRNA2T00009926001	3.417249152	5.63E-12
GSBRNA2T00063199001	3.413726059	0.000242555
GSBRNA2T00098855001	3.412711124	0.050161752
GSBRNA2T00019387001	3.407358914	0.002512285
GSBRNA2T00049410001	3.400667271	0.009032917
GSBRNA2T00091097001	3.394090704	1.42E-07
GSBRNA2T00086287001	3.392253248	0.02027094
GSBRNA2T00029904001	3.382980672	0.042941192
GSBRNA2T00100455001	3.37506472	3.85E-08
GSBRNA2T00053635001	3.36729185	0.021119542
GSBRNA2T00051552001	3.36638492	0.000352091
GSBRNA2T00116512001	3.36567756	0.000151817
GSBRNA2T00009381001	3.363936481	5.55E-07
GSBRNA2T00109784001	3.350872981	0.038755448
GSBRNA2T00091084001	3.341194911	0.000157035
GSBRNA2T00083087001	3.341126474	0.000132076
GSBRNA2T00135866001	3.332300237	5.04E-06
GSBRNA2T00155965001	3.321848519	0.047765832
GSBRNA2T00111327001	3.321758448	0.016541309
GSBRNA2T00110460001	3.31884329	0.012159924
GSBRNA2T00074112001	3.318737541	7.50E-06
GSBRNA2T00082260001	3.315693497	0.016374045
GSBRNA2T00113647001	3.314035009	0.000488837
GSBRNA2T00019330001	3.310800333	0.0001504
GSBRNA2T00054199001	3.307736104	1.31E-06
GSBRNA2T00068067001	3.28996193	0.000134461
GSBRNA2T00062846001	3.286303406	0.028019129
GSBRNA2T00089390001	3.283694506	0.00052097
GSBRNA2T00120459001	3.278710479	0.027842499
GSBRNA2T00136125001	3.268621211	0.000191537
GSBRNA2T00053648001	3.259129533	0.000105868
GSBRNA2T00015331001	3.253011956	1.25E-05
GSBRNA2T00136233001	3.252573805	0.000773193
GSBRNA2T00086350001	3.251895967	0.001585189
GSBRNA2T00105374001	3.243194739	5.84E-11
GSBRNA2T00102479001	3.240930668	0.00131008
GSBRNA2T00104970001	3.235618921	0.007703243
GSBRNA2T00136178001	3.235220833	1.00E-05
GSBRNA2T00016616001	3.232350827	0.000626669
GSBRNA2T00111499001	3.226333724	7.96E-08
GSBRNA2T00027617001	3.214458004	4.75E-10
GSBRNA2T00149240001	3.212147669	0.007583788
GSBRNA2T00075001001	3.206933571	0.047202549
GSBRNA2T00094193001	3.206294764	2.96E-05
GSBRNA2T00075632001	3.203422651	0.000159617
GSBRNA2T00149081001	3.203407798	0.000897657
GSBRNA2T00074939001	3.201948738	0.019523033
GSBRNA2T00141061001	3.201455605	0.000154304
GSBRNA2T00142103001	3.200978033	0.036059791
GSBRNA2T00035235001	3.19574438	0.006538711
GSBRNA2T00004329001	3.194884181	4.73E-05
GSBRNA2T00032869001	3.189665159	0.000112141
GSBRNA2T00074574001	3.188298262	0.000173474
GSBRNA2T00083057001	3.181181024	9.27E-06
GSBRNA2T00082067001	3.175448997	0.00015948
GSBRNA2T00015277001	3.170666435	0.002351091
GSBRNA2T00037301001	3.167037826	0.000470658
GSBRNA2T00094536001	3.166662076	2.28E-09
GSBRNA2T00001024001	3.166338495	1.31E-11
GSBRNA2T00009977001	3.165517084	1.69E-06
