Gene ID	log2FoldChange	padj
GSBRNA2T00136172001	10.7317112	7.40E-18
GSBRNA2T00150332001	10.48313297	3.73E-18
GSBRNA2T00099511001	10.17437628	5.89E-70
GSBRNA2T00143754001	9.866637954	3.75E-53
GSBRNA2T00132238001	9.642718931	3.09E-18
GSBRNA2T00121572001	9.553638367	2.25E-26
GSBRNA2T00074853001	9.521298911	5.69E-38
GSBRNA2T00075186001	9.325948371	8.64E-12
GSBRNA2T00121974001	9.315152304	5.37E-12
GSBRNA2T00107069001	9.311631512	2.71E-21
GSBRNA2T00080110001	9.245144395	2.95E-13
GSBRNA2T00064202001	9.100715138	1.42E-26
GSBRNA2T00151937001	8.964457803	1.26E-26
GSBRNA2T00112040001	8.91956919	7.21E-20
GSBRNA2T00018819001	8.873123555	1.23E-16
GSBRNA2T00010987001	8.744954173	3.90E-21
GSBRNA2T00038577001	8.704071006	1.71E-22
GSBRNA2T00138872001	8.664148029	7.86E-12
GSBRNA2T00143752001	8.583657637	4.69E-15
GSBRNA2T00033806001	8.543262215	4.95E-24
GSBRNA2T00155807001	8.496269951	5.00E-09
GSBRNA2T00079644001	8.4760824	2.95E-15
GSBRNA2T00062238001	8.445941303	4.28E-30
GSBRNA2T00132926001	8.41056173	7.65E-23
GSBRNA2T00149173001	8.403901556	3.00E-17
GSBRNA2T00014963001	8.263551784	5.96E-11
GSBRNA2T00015609001	8.22970529	9.76E-11
GSBRNA2T00072708001	8.093710496	4.84E-08
GSBRNA2T00131132001	8.076920145	2.83E-33
GSBRNA2T00120710001	8.025510563	2.60E-55
GSBRNA2T00122543001	7.942511822	5.70E-08
GSBRNA2T00153073001	7.869860053	3.16E-29
GSBRNA2T00104941001	7.856486572	5.54E-20
GSBRNA2T00096082001	7.82138007	1.30E-12
GSBRNA2T00130728001	7.748085071	6.41E-08
GSBRNA2T00131619001	7.724685889	1.76E-18
GSBRNA2T00002984001	7.694889406	4.22E-22
GSBRNA2T00034306001	7.674127398	1.09E-13
GSBRNA2T00119963001	7.659946184	1.43E-40
GSBRNA2T00134407001	7.539552231	6.06E-14
GSBRNA2T00114129001	7.515017937	4.32E-51
GSBRNA2T00149923001	7.514941278	1.21E-12
GSBRNA2T00049102001	7.514073101	7.35E-38
GSBRNA2T00143274001	7.483587314	4.66E-07
GSBRNA2T00011136001	7.478734841	3.94E-09
GSBRNA2T00007519001	7.440484072	1.40E-22
GSBRNA2T00043132001	7.422762805	8.38E-10
GSBRNA2T00029364001	7.41972557	2.16E-25
GSBRNA2T00096867001	7.417570162	3.39E-08
GSBRNA2T00083273001	7.407121249	7.04E-08
GSBRNA2T00041781001	7.332696683	9.52E-07
GSBRNA2T00049100001	7.329139732	1.77E-11
GSBRNA2T00079674001	7.29087326	3.07E-06
GSBRNA2T00026935001	7.281487272	3.57E-09
GSBRNA2T00091634001	7.281407912	1.23E-32
GSBRNA2T00101647001	7.258845707	8.51E-16
GSBRNA2T00014087001	7.237625109	3.90E-09
GSBRNA2T00025070001	7.210324006	1.37E-16
GSBRNA2T00104981001	7.208185775	2.82E-21
GSBRNA2T00149078001	7.207060061	2.31E-07
GSBRNA2T00094509001	7.203816898	5.14E-20
GSBRNA2T00009965001	7.168652009	9.54E-12
GSBRNA2T00011634001	7.142336383	2.88E-10
GSBRNA2T00015861001	7.129158743	5.21E-07
GSBRNA2T00077854001	7.092925715	1.46E-06
GSBRNA2T00143405001	7.079292221	6.63E-39
GSBRNA2T00040510001	7.074169527	1.22E-05
GSBRNA2T00044716001	7.072422571	2.95E-14
GSBRNA2T00053919001	7.043261686	5.06E-16
