At_gene	NAME	root1_log_fold	root3_log_fold	root5_log_fold	shoot1_log_fold	shoot3_log_fold	shoot5_log_fold
AT1G01020	ARV1	0	0	0	0	0	0
AT1G01030	NGA3	0	0	0	0	0	0
AT1G01040	Endoribonuclease Dicer-like 1	0	0	0	0	0	0
AT1G01050	Soluble inorganic pyrophosphatase 1	0	0	0	0	0	0
AT1G01060	LHY1	0	0	0	0	0	-0.170401505857143
AT1G01070	WAT1-related protein	-1.23431321714286	0	0	0	0	0
AT1G01090	Pyruvate dehydrogenase E1 component subunit alpha	-0.4013865894	-0.7350245612	0	-0.4266720046	0	-0.6213943786
AT1G01100	60S acidic ribosomal protein P1-1	0	-0.7106112015	0	0	0	0
AT1G01110	IQD18	-0.629711945	-2.0326110195	-2.40197387	0	0	0
AT1G01120	3-ketoacyl-CoA synthase	0	0	0	-0.242597653	0	-1.1947316838
AT1G01140	CBL-interacting protein kinase 9	1.1774885306	0.3170906204	0	-0.5024426592	1.2770105	0
AT1G01150	Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain	0	3.857982177	0	0	0	0
AT1G01160	GRF1-interacting factor 2	0	0.4550462432	0.3800693528	0	0	0.3128775836
AT1G01170	At1g01170	0	0	0	0	0	0
AT1G01180	S-adenosyl-L-methionine-dependent methyltransferase domain-containing protein	0	1.023673323	0	0	0.7132819145	0.7862591555
AT1G01190	CYP78A8	-3.06469655775	-0.69570527925	0	0	0	0.41469808225
AT1G01200	RABA3	-2.46790055333333	0	0	0	0	0
AT1G01220	Bifunctional fucokinase/fucose pyrophosphorylase	0	0	0	0	0	0
AT1G01225	At1g01225	0	0	0	0	0	0
AT1G01230	ORMDL family protein	0	0.342700689666667	0	0	0	0
AT1G01240	At1g01240/F6F3_11	0	-0.353790812333333	0	1.34624337466667	0	0
AT1G01250	Ethylene-responsive transcription factor ERF023	0	0	0	0	0	0
AT1G01260	Transcription factor bHLH13	0	0	0	0	0	0
AT1G01280	Cytochrome P450 703A2	0	0	0	0	0	0
AT1G01290	Cyclic pyranopterin monophosphate synthase, mitochondrial	0	0	0	0	0	0
AT1G01300	Aspartyl protease family protein 2	0	-1.2787570545	0	0	0	-0.7343147605
AT1G01310	Allergen V5/Tpx-1-related family protein	0	0	0	0	0	0
AT1G01320	Tetratricopeptide repeat-containing protein	-0.626806094	-0.4359682985	0	-1.2944541235	0	-0.419337627
AT1G01340	Probable cyclic nucleotide-gated ion channel 10	0	0	0	0	0	0
AT1G01350	Zinc finger CCCH domain-containing protein 1	0	0	0	0	0	0
AT1G01360	RCAR1	-0.901193943666667	0	0	0	0	0
AT1G01380	ETC1	0	0	0	0	0	0
AT1G01410	Putative pumilio homolog 22	0	0	0	0	0	0
AT1G01420	UDP-glucosyl transferase 72B3	0	0	-1.765226741	0	0	-2.3567389265
AT1G01430	Protein trichome birefringence-like 25	-0.851368117	-0.379953700333333	-0.772772209666667	-0.432529251	0	-1.2150663
AT1G01440	At1g01440	0	1.9979780315	0	0	0	0
AT1G01450	Putative serine/threonine/tyrosine kinase	0	0	0	0	0	0
AT1G01460	Phosphatidylinositol 4-phosphate 5-kinase 10	0	0	0	0	0	0
AT1G01480	1-aminocyclopropane-1-carboxylate synthase 2	5.6016055455	6.6107518515	2.055893066	4.265461288	2.9815096715	5.4287541365
AT1G01490	Heavy metal transport/detoxification superfamily protein	2.355790321	0.883634822666667	0	0	0.680287902333333	0
AT1G01500	Uncharacterized protein At1g01500	1.719769997	2.218025682	0	0	0	0
AT1G01510	C-terminal binding protein AN	0	0	0	0	0	0
AT1G01520	ASG4	0	0	0	0	0	0
AT1G01540	Probable serine/threonine-protein kinase At1g01540	-0.493326842333333	0	0	0	0	-0.603806146
AT1G01550	Protein BPS1, chloroplastic	1.2294017945	1.875087014	0.499902274	0	0	0.8643373355
AT1G01570	F22L4.11 protein	0	0	0	0	0	0
AT1G01580	ferric reduction oxidase 2	-1.5790940234	2.3110368928	-1.7915738976	0	0	0
AT1G01600	Cytochrome P450 86A4	0	1.40704691266667	0	0	0	-0.731150339
AT1G01610	GPAT4	0.937916846666667	0.713667079	0	-1.09861367966667	0.289269179	-1.381499609
AT1G01620	Aquaporin PIP1-3	-1.20829152833333	-0.556647783	0	-2.09031506933333	0	-1.59601037366667
