AGI_code	log2-fold change	P-value	FDR
AT4G37710	10.27957173	1.2175E-09	2.68678E-08
AT4G30380	9.303205047	5.91742E-07	7.2332E-06
AT5G10040	7.368716664	8.05991E-05	0.000567934
AT2G26400	7.329641088	1.4125E-60	5.93369E-57
AT1G51020	7.006996147	2.84233E-05	0.000229324
AT3G20395	6.971485695	1.14818E-08	2.09104E-07
AT3G47720	6.845739153	1.6329E-05	0.000139469
AT1G72350	6.699477203	1.09672E-08	2.00455E-07
AT2G34390	6.570728746	7.38444E-05	0.000526371
AT1G04370	6.52714263	8.70636E-07	1.02162E-05
AT2G17850	6.266131845	0.000366716	0.002101653
AT2G30670	6.259863352	1.40427E-07	2.00877E-06
AT1G20310	6.216718777	7.60829E-06	7.05026E-05
AT3G49620	6.161943898	2.5753E-10	6.52366E-09
AT2G14560	6.030798785	0.000365665	0.002097538
AT3G29970	6.0072852	0.009149319	0.032352494
AT5G22570	5.902012119	1.30538E-31	7.31156E-29
AT1G30135	5.783711971	0.001925005	0.008715601
AT1G22810	5.761768684	0.000598975	0.003202623
AT4G10265	5.744824849	5.66929E-05	0.000417987
AT1G76650	5.677215146	4.96401E-08	7.82966E-07
AT1G64160	5.602582572	3.22497E-25	8.74037E-23
AT2G44070	5.563335105	0.000178206	0.001130552
AT5G22545	5.551507157	0.000481991	0.002653688
AT1G67270	5.462395366	5.15677E-29	2.32101E-26
AT4G28811	5.412515942	0.004078056	0.016482905
AT4G11642	5.396208714	0.002306551	0.010130096
AT3G43190	5.338320745	0.000113521	0.000767514
AT4G33070	5.259355648	3.17535E-06	3.22071E-05
AT4G19750	5.180546945	0.000352484	0.002031175
AT2G36970	5.084114105	4.52972E-09	8.82316E-08
AT5G01900	5.057767046	3.5382E-26	1.14334E-23
AT4G24110	5.025297075	1.61089E-09	3.45554E-08
AT5G38200	4.988515877	1.06409E-48	2.68205E-45
AT1G69920	4.927473978	2.75994E-33	1.88011E-30
AT2G02010	4.879994365	5.01271E-33	3.23962E-30
AT1G77120	4.872775487	2.41587E-05	0.000198539
AT4G19760	4.851322035	3.48261E-06	3.50556E-05
AT2G47520	4.839056599	5.8216E-05	0.000427172
AT5G25180	4.828000993	0.004413182	0.017633839
AT1G35140	4.766011659	3.02698E-06	3.08512E-05
AT3G16150	4.705991454	3.26149E-07	4.27488E-06
AT2G36800	4.698548146	0.00123376	0.005977876
AT1G05675	4.697664033	7.80157E-13	3.16139E-11
AT1G67100	4.692652624	0.001165998	0.005703274
AT2G14247	4.621870317	0.000400617	0.002260981
AT3G49480	4.618381244	0.005102102	0.019959409
AT4G32630	4.604958467	0.000168164	0.001073326
AT2G15780	4.592648915	4.47175E-08	7.12005E-07
AT2G16060	4.572021329	5.55235E-07	6.83287E-06
AT5G62520	4.51612558	1.72958E-14	9.6234E-13
AT5G05340	4.441394369	0.001819894	0.008314378
AT3G46190	4.425833814	5.35527E-10	1.26861E-08
AT2G43620	4.42354767	6.0832E-36	6.38862E-33
AT4G15310	4.421479321	7.88218E-15	4.62024E-13
AT5G22520	4.390774549	1.86178E-13	8.39468E-12
AT3G23170	4.388443592	3.98857E-09	7.87867E-08
AT1G69930	4.362555304	3.22083E-27	1.21166E-24
AT3G43200	4.335604222	0.000819976	0.004213559
AT5G07430	4.299345931	6.99258E-07	8.40077E-06
AT3G10040	4.294125639	2.82307E-12	1.0391E-10
