AGI	Gene Name	Short Description	T1_Ax_Pst vs Ax_CTL_log2FC	T1_Ax_Pst vs Ax_CTL_FDR	T2_Ax_Pst vs Ax_CTL_log2FC	T2_Ax_Pst vs Ax_CTL_FDR	color
AT1G76640		Calcium-binding EF-hand family protein	10.23	3.7E-15	10.05	5.7E-07	blue
AT1G72260	THI2.1	thionin 2.1	9.47	1.0E-43	5.89	2.3E-05	blue
AT3G11180		2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	9.39	4.6E-24	8.55	5.3E-11	blue
AT4G37410	CYP81F4	"cytochrome P450, family 81, subfamily F, polypeptide 4"	9.28	1.7E-46	9.05	9.3E-19	blue
AT2G39030	NATA1	Acyl-CoA N-acyltransferases (NAT) superfamily protein	8.98	9.4E-56	9.17	2.8E-21	blue
AT4G10290		RmlC-like cupins superfamily protein	8.90	2.0E-16	8.53	8.8E-12	blue
AT3G26330	CYP71B37	"cytochrome P450, family 71, subfamily B, polypeptide 37"	8.85	4.4E-40	8.26	6.6E-12	blue
AT1G54020		GDSL-like Lipase/Acylhydrolase superfamily protein	8.61	8.0E-44	7.22	6.8E-12	blue
AT4G11911			8.47	4.2E-17	9.26	6.1E-19	blue
AT5G26260		TRAF-like family protein	8.19	1.1E-15	9.66	6.6E-14	blue
AT3G55970	JRG21	jasmonate-regulated gene 21	8.10	2.5E-21	8.31	7.4E-15	blue
AT1G51780	ILL5	IAA-leucine resistant (ILR)-like gene 5	8.02	9.2E-39	9.77	1.9E-12	blue
AT3G45130	LAS1	lanosterol synthase 1	7.82	4.7E-29	7.94	1.5E-16	blue
AT2G24210	TPS10	terpene synthase 10	7.65	2.1E-32	7.64	3.4E-09	blue
AT5G24780	VSP1	vegetative storage protein 1	7.61	4.2E-109	7.96	2.5E-21	blue
AT2G45940		Protein of unknown function (DUF295)	7.32	4.1E-09	5.44	8.6E-11	blue
AT1G66280	BGLU22	Glycosyl hydrolase superfamily protein	7.26	2.7E-04	8.67	6.6E-07	blue
AT4G17470		alpha/beta-Hydrolases superfamily protein	7.24	1.2E-69	7.84	1.4E-17	blue
AT4G11310		Papain family cysteine protease	7.24	7.7E-08	10.15	3.6E-12	blue
AT4G15200	FH3	formin 3	7.16	9.9E-28	9.57	4.9E-18	blue
AT1G61110	NAC025	NAC domain containing protein 25	7.04	7.7E-09	5.43	5.6E-04	blue
AT3G27416			7.00	7.9E-14	5.50	7.2E-07	blue
AT1G52030	MBP2	myrosinase-binding protein 2	6.84	9.4E-56	5.04	2.2E-20	blue
AT3G50280		HXXXD-type acyl-transferase family protein	6.81	2.0E-42	7.13	9.3E-23	blue
AT3G11480	BSMT1	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	6.80	5.9E-22	7.61	3.9E-11	blue
AT4G21830	MSRB7	methionine sulfoxide reductase B7	6.69	9.8E-08	12.35	1.1E-10	blue
AT3G09940	MDHAR	monodehydroascorbate reductase	6.59	9.1E-05	10.06	1.9E-08	blue
AT4G13410	ATCSLA15	Nucleotide-diphospho-sugar transferases superfamily protein	6.48	1.4E-63	7.09	3.1E-22	blue
AT1G61120	TPS04	terpene synthase 04	6.47	1.0E-08	7.43	5.5E-08	blue
AT2G39330	JAL23	jacalin-related lectin 23	6.43	9.1E-60	6.21	8.5E-24	blue
AT2G30830		2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	6.42	6.5E-25	7.46	5.1E-12	blue
AT5G38130		HXXXD-type acyl-transferase family protein	6.32	4.0E-14	8.27	2.3E-15	blue
AT3G29110		Terpenoid cyclases/Protein prenyltransferases superfamily protein	6.03	4.7E-04	7.68	1.3E-03	blue
AT1G52040	MBP1	myrosinase-binding protein 1	6.01	8.7E-31	5.69	1.8E-19	blue
AT4G15210	BAM5	beta-amylase 5	5.98	9.5E-39	8.07	1.5E-18	blue
AT4G16730	TPS02	terpene synthase 02	5.86	1.1E-08	5.44	9.7E-05	blue
AT3G15536			5.62	9.6E-04	2.70	1.1E-02	blue
AT5G07010	ST2A	sulfotransferase 2A	5.61	1.4E-14	7.53	7.6E-15	blue
AT5G28237		Pyridoxal-5-phosphate-dependent enzyme family protein	5.58	9.3E-11	5.96	4.3E-12	blue
AT3G55100	ABCG17	ABC-2 type transporter family protein	5.57	2.2E-03	9.57	3.1E-09	blue
AT1G54010		GDSL-like Lipase/Acylhydrolase superfamily protein	5.43	3.1E-34	5.07	1.4E-12	blue
AT1G24070	CSLA10	cellulose synthase-like A10	5.35	7.6E-63	5.50	1.1E-29	blue
AT3G28290	AT14A	Protein of unknown function (DUF677)	5.32	1.7E-27	4.99	1.1E-30	blue
AT1G28590		GDSL-like Lipase/Acylhydrolase superfamily protein	5.14	5.4E-03	8.13	1.7E-08	blue
AT3G28300	AT14A	Protein of unknown function (DUF677)	5.09	1.2E-39	5.37	7.8E-27	blue
AT2G05440	GRP9	GLYCINE RICH PROTEIN 9	5.00	2.9E-04	6.38	1.9E-13	blue
AT4G35160		O-methyltransferase family protein	4.85	3.6E-09	6.31	6.7E-11	blue
AT1G73325		Kunitz family trypsin and protease inhibitor protein	4.82	4.0E-52	5.34	1.9E-27	blue
AT5G26690		Heavy metal transport/detoxification superfamily protein 	4.74	1.5E-02	3.32	3.2E-03	blue
AT2G24850	TAT3	tyrosine aminotransferase 3	4.74	1.1E-04	7.43	2.4E-09	blue
