Gene.ID	Root.1.hr.log2FoldChange	padj	Bnapus_gene_name	Bnapus_gene_symbol	Bnapus_position	Bnapus_description	Athaliana_gene	Athaliana_gene_symbol	Athaliana_position	Athaliana_description	pident	evalue	bitscore	top2_bitscore_diff	GO_id	INTERPRO_id
GSBRNA2T00000005001	2.02062346	0.000364793	CDY08316	BnaC09g12800D	supercontig:AST_PRJEB5043_v1:LK031985:23889:27369:-1	BnaC09g12800D protein	AT1G63670	NA	chromosome:TAIR10:1:23607357:23610777:-1	Putative uncharacterized protein F24D7.14	82.692	0	1051	NA	NA	IPR022212
GSBRNA2T00000056001	2.256643289	7.82e-08	CDY08347	BnaC09g12490D	supercontig:AST_PRJEB5043_v1:LK031985:459831:466158:1	BnaC09g12490D protein	AT1G64060	RBOHF	chromosome:TAIR10:1:23769774:23776984:1	Respiratory burst oxidase homolog protein F	88.706	0	3446	2974	GO:0004601;GO:0005509;GO:0016020;GO:0016491;GO:0055114	IPR000778;IPR002048;IPR011992;IPR013112;IPR013121;IPR013130;IPR013623;IPR017927;IPR017938;IPR018247
GSBRNA2T00000058001	4.736285928	0.018428415	CDY08348	BnaC09g12480D	supercontig:AST_PRJEB5043_v1:LK031985:470569:472780:1	BnaC09g12480D protein	AT1G64065	NA	chromosome:TAIR10:1:23778255:23779529:1	Late embryogenesis abundant protein At1g64065	81.495	1.77e-121	436	NA	NA	NA
GSBRNA2T00000139001	3.003414865	0.021343161	CDY08393	BnaC09g12030D	supercontig:AST_PRJEB5043_v1:LK031985:948646:949423:1	BnaC09g12030D protein	AT1G64660	MGL	chromosome:TAIR10:1:24028830:24030780:1	Methionine gamma-lyase	87.556	0	773	NA	GO:0003824;GO:0030170	IPR000277;IPR015421;IPR015422;IPR015424
GSBRNA2T00000156001	1.663981948	0.000380392	CDY08402	BnaA05g26380D	supercontig:AST_PRJEB5043_v1:LK031986:51258:54107:1	BnaA05g26380D protein	AT3G12800	SDRB	chromosome:TAIR10:3:4063320:4064859:-1	Putative uncharacterized protein At3g12790	86.452	0	952	486	GO:0000166;GO:0008152;GO:0016491	IPR002198;IPR002347;IPR016040
GSBRNA2T00000161001	1.343121954	0.00124631	CDY08407	BnaA05g26430D	supercontig:AST_PRJEB5043_v1:LK031986:78094:80128:-1	BnaA05g26430D protein	AT3G12740	ALIS1	chromosome:TAIR10:3:4049309:4051775:1	ALA-interacting subunit 1	87.423	0	1122	NA	GO:0016020	IPR005045
GSBRNA2T00000165001	-1.61238998	0.045217604	CDY08411	BnaA05g26470D	supercontig:AST_PRJEB5043_v1:LK031986:94574:96243:1	BnaA05g26470D protein	AT3G12710	NA	chromosome:TAIR10:3:4040324:4042075:-1	DNA glycosylase superfamily protein	88.254	0	1125	NA	GO:0003824;GO:0006281;GO:0006284;GO:0008725	IPR005019;IPR011257
GSBRNA2T00000167001	5.952592658	0.002645328	CDY08413	BnaA05g26490D	supercontig:AST_PRJEB5043_v1:LK031986:101624:103557:-1	BnaA05g26490D protein	NA	NA	NA	NA	NA	NA	NA	NA	GO:0004190;GO:0006508	IPR001461;IPR001969;IPR021109
GSBRNA2T00000261001	1.8815872	0.013168307	CDY08490	BnaA05g27260D	supercontig:AST_PRJEB5043_v1:LK031986:399827:401612:1	RING-type E3 ubiquitin transferase	AT3G11840	PUB24	chromosome:TAIR10:3:3736578:3738208:-1	E3 ubiquitin-protein ligase PUB24	84.768	0	745	NA	GO:0000151;GO:0004842;GO:0005488;GO:0016567	IPR003613;IPR011989;IPR013083;IPR016024
GSBRNA2T00000271001	-2.602167255	0.009350123	CDY08498	BnaA05g27340D	supercontig:AST_PRJEB5043_v1:LK031986:427382:428634:1	7,8-dihydroneopterin aldolase	AT3G11750	FOLB1	chromosome:TAIR10:3:3714762:3716018:-1	7,8-dihydroneopterin aldolase	85.054	6.14e-103	374	NA	GO:0004150;GO:0006760	IPR006156;IPR006157
GSBRNA2T00000275001	-1.176502592	0.002328706	CDY08502	BnaA05g27380D	supercontig:AST_PRJEB5043_v1:LK031986:436071:438492:-1	BnaA05g27380D protein	AT3G11700	FLA18	chromosome:TAIR10:3:3698658:3701514:1	FLA18	86.681	0	1524	382	NA	IPR000782
GSBRNA2T00000279001	1.114372777	0.040640212	CDY08505	BnaA05g27410D	supercontig:AST_PRJEB5043_v1:LK031986:460823:464567:-1	BnaA05g27410D protein	AT3G11670	DGD1	chromosome:TAIR10:3:3680866:3684871:-1	DGD1	89.034	0	2909	NA	GO:0009058	IPR001296
GSBRNA2T00000280001	2.125291247	0.001152367	CDY08506	BnaA05g27420D	supercontig:AST_PRJEB5043_v1:LK031986:474246:474884:1	BnaA05g27420D protein	AT3G11660	NHL1	chromosome:TAIR10:3:3678595:3679943:-1	NDR1/HIN1-like protein 1	86.624	0	688	416	NA	IPR004864
