Gene.ID	log2FoldChange	padj	Bnapus_gene_name	Bnapus_gene_symbol	Bnapus_position	Bnapus_description	Athaliana_gene	Athaliana_gene_symbol	Athaliana_position	Athaliana_description	pident	evalue	bitscore	top2_bitscore_diff	GO_id	INTERPRO_id
GSBRNA2T00000156001	1.00591217	0.00816511	CDY08402	BnaA05g26380D	supercontig:AST_PRJEB5043_v1:LK031986:51258:54107:1	BnaA05g26380D protein	AT3G12800	SDRB	chromosome:TAIR10:3:4063320:4064859:-1	Putative uncharacterized protein At3g12790	86.452	0	952	486	GO:0000166;GO:0008152;GO:0016491	IPR002198;IPR002347;IPR016040
GSBRNA2T00000178001	-2.227779808	0.016972786	CDY08421	BnaA05g26570D	supercontig:AST_PRJEB5043_v1:LK031986:134662:136026:-1	BnaA05g26570D protein	AT3G12600	NUDT16	chromosome:TAIR10:3:4004587:4006198:1	Nudix hydrolase 16, mitochondrial	88.826	0	640	NA	GO:0016787	IPR000086;IPR015797;IPR020084
GSBRNA2T00000221001	-0.851998757	0.042182831	CDY08454	BnaA05g26900D	supercontig:AST_PRJEB5043_v1:LK031986:250301:253118:1	BnaA05g26900D protein	AT3G12120	FAD2	chromosome:TAIR10:3:3860251:3863250:-1	FAD2	85.64	0	1210	NA	GO:0006629;GO:0055114	IPR005804;IPR021863
GSBRNA2T00000312001	1.082684256	0.022226973	CDY08532	BnaA05g27680D	supercontig:AST_PRJEB5043_v1:LK031986:598114:600009:-1	PRA1 family protein	AT3G11397	PRA1A3	chromosome:TAIR10:3:3576017:3578082:1	PRA1 family protein A3	90.159	0	821	228	NA	IPR004895
GSBRNA2T00000345001	1.419177289	0.02424366	CDY08561	BnaA05g27970D	supercontig:AST_PRJEB5043_v1:LK031986:721428:724583:1	BnaA05g27970D protein	AT3G10970	NA	chromosome:TAIR10:3:3432811:3436403:-1	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	89.189	0	1360	NA	NA	IPR023214
GSBRNA2T00000366001	2.085551406	0.024364361	CDY08576	BnaA05g28120D	supercontig:AST_PRJEB5043_v1:LK031986:775122:776148:1	BnaA05g28120D protein	NA	NA	NA	NA	NA	NA	NA	NA	GO:0005515;GO:0008270	IPR001841;IPR013083
GSBRNA2T00000388001	2.333664792	0.009555681	CDY08597	BnaA05g28330D	supercontig:AST_PRJEB5043_v1:LK031986:849626:850607:1	BnaA05g28330D protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSBRNA2T00000398001	1.055101651	0.025852571	CDY08604	BnaA05g28400D	supercontig:AST_PRJEB5043_v1:LK031986:891816:895000:-1	BnaA05g28400D protein	AT3G10420	SPD1	chromosome:TAIR10:3:3239180:3242537:1	P-loop containing nucleoside triphosphate hydrolases superfamily protein	87.918	0	2410	NA	GO:0000166;GO:0017111	IPR003593
GSBRNA2T00000403001	1.297350461	0.019557913	CDY08609	BnaA05g28450D	supercontig:AST_PRJEB5043_v1:LK031986:909720:912907:-1	Glycerol-3-phosphate dehydrogenase	AT3G10370	SDP6	chromosome:TAIR10:3:3216339:3219270:1	Glycerol-3-phosphate dehydrogenase SDP6, mitochondrial	90.271	0	2457	NA	GO:0004368;GO:0006072;GO:0009331;GO:0016491;GO:0055114	IPR000447;IPR006076
GSBRNA2T00000453001	2.510278747	1.88e-05	CDY08634	BnaC04g19430D	supercontig:AST_PRJEB5043_v1:LK031987:270917:273638:-1	BnaC04g19430D protein	AT1G62300	WRKY6	chromosome:TAIR10:1:23016569:23019494:-1	Putative uncharacterized protein At1g62300	82.081	0	712	NA	GO:0003700;GO:0043565	IPR003657
GSBRNA2T00000484001	-4.290713544	0.021598418	CDY08654	BnaC04g19630D	supercontig:AST_PRJEB5043_v1:LK031987:540727:542633:1	BnaC04g19630D protein	AT1G62380	ACO2	chromosome:TAIR10:1:23082036:23084253:1	1-aminocyclopropane-1-carboxylate oxidase 2	88.808	0	1181	366	GO:0016491;GO:0055114	IPR005123;IPR026992
GSBRNA2T00000496001	-3.4035928	0.049448279	CDY08659	BnaC04g19680D	supercontig:AST_PRJEB5043_v1:LK031987:617442:619497:-1	BnaC04g19680D protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
