Gene.ID	log2FoldChange	padj	Bnapus_gene_name	Bnapus_gene_symbol	Bnapus_position	Bnapus_description	Athaliana_gene	Athaliana_gene_symbol	Athaliana_position	Athaliana_description	pident	evalue	bitscore	top2_bitscore_diff	GO_id	INTERPRO_id
GSBRNA2T00000073001	2.558185604	0.022511205	CDY08360	BnaC09g12360D	supercontig:AST_PRJEB5043_v1:LK031985:551272:556112:-1	BnaC09g12360D protein	AT1G64110	NA	chromosome:TAIR10:1:23796698:23801799:-1	p-loop containing nucleoside triphosphate hydrolases superfamily protein	89.592	0	3155	NA	GO:0000166;GO:0005524;GO:0017111	IPR003593;IPR003959;IPR003960
GSBRNA2T00000156001	1.076407078	0.000145711	CDY08402	BnaA05g26380D	supercontig:AST_PRJEB5043_v1:LK031986:51258:54107:1	BnaA05g26380D protein	AT3G12800	SDRB	chromosome:TAIR10:3:4063320:4064859:-1	Putative uncharacterized protein At3g12790	86.452	0	952	486	GO:0000166;GO:0008152;GO:0016491	IPR002198;IPR002347;IPR016040
GSBRNA2T00000188001	4.804325096	3.33e-17	CDY08428	BnaA05g26640D	supercontig:AST_PRJEB5043_v1:LK031986:154916:156621:1	BnaA05g26640D protein	AT3G12500	CHI-B	chromosome:TAIR10:3:3962136:3963984:-1	Basic endochitinase B	86.887	0	1046	NA	GO:0004568;GO:0005975;GO:0006032;GO:0008061;GO:0016998	IPR000726;IPR001002;IPR016283;IPR018371;IPR023346
GSBRNA2T00000263001	1.73289147	0.007561811	CDY08492	BnaA05g27280D	supercontig:AST_PRJEB5043_v1:LK031986:407849:409464:1	BnaA05g27280D protein	AT3G11820	SYP121	chromosome:TAIR10:3:3729305:3731251:-1	SYR1	85.87	0	965	NA	GO:0005484;GO:0005515;GO:0006886;GO:0016020;GO:0016192	IPR000727;IPR006011;IPR006012;IPR010989
GSBRNA2T00000280001	1.048803464	0.046906447	CDY08506	BnaA05g27420D	supercontig:AST_PRJEB5043_v1:LK031986:474246:474884:1	BnaA05g27420D protein	AT3G11660	NHL1	chromosome:TAIR10:3:3678595:3679943:-1	NDR1/HIN1-like protein 1	86.624	0	688	416	NA	IPR004864
GSBRNA2T00000307001	1.449917024	0.027241446	CDY08529	BnaA05g27650D	supercontig:AST_PRJEB5043_v1:LK031986:578926:581661:-1	BnaA05g27650D protein	AT3G11420	NA	chromosome:TAIR10:3:3591251:3594589:1	At3g11420	85.512	0	1546	1483.9	NA	IPR006740
GSBRNA2T00000314001	2.988762406	0.008044356	CDY08534	BnaA05g27700D	supercontig:AST_PRJEB5043_v1:LK031986:605459:607287:-1	Glycosyltransferase	AT3G11340	NA	chromosome:TAIR10:3:3556554:3558361:1	Glycosyltransferase	86.266	0	1459	NA	GO:0008152	IPR002213
GSBRNA2T00000396001	1.135148245	0.005734107	CDY08603	BnaA05g28390D	supercontig:AST_PRJEB5043_v1:LK031986:876796:879505:-1	BnaA05g28390D protein	AT3G10450	SCPL7	chromosome:TAIR10:3:3249526:3252582:1	SCPL7	86.821	0	1382	286	GO:0004185;GO:0006508	IPR001563
GSBRNA2T00000406001	4.100867003	5.79e-05	CDY08612	BnaA05g28480D	supercontig:AST_PRJEB5043_v1:LK031986:926625:928552:1	BnaA05g28480D protein	AT3G10320	NA	chromosome:TAIR10:3:3195314:3197457:-1	F14P13.8 protein	86.085	0	1343	NA	NA	IPR007657
GSBRNA2T00000498001	5.000684678	0.0075263	CDY08660	BnaC04g19690D	supercontig:AST_PRJEB5043_v1:LK031987:654300:655226:-1	BnaC04g19690D protein	NA	NA	NA	NA	NA	NA	NA	NA	GO:0005507;GO:0009055	IPR003245;IPR008972
