At_gene	NAME	GWEIGHT	s1	s3	s5	r1	r3	r5
EWEIGHT			1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
AT1G61490	G-type lectin S-receptor-like serine/threonine-protein kinase At1g61490	1.000000	2.009849	0.335859	2.969154	3.697266	2.133880	1.581686
AT5G59820	Zinc finger protein ZAT12	1.000000	2.038167	0.437534	2.711957	3.692088	2.589122	1.877730
AT1G29860	Putative uncharacterized protein At1g29860	1.000000	2.072739	0.964812	3.010913	3.361645	2.619856	2.081471
AT4G15120	Putative uncharacterized protein AT4g15120	1.000000	2.165718	0.545028	3.114964	3.907457	2.977452	1.512061
AT4G04700	Calcium-dependent protein kinase 27	1.000000	1.297786	0.179429	1.699628	2.011783	1.552520	0.742792
AT1G67980	Putative caffeoyl-CoA O-methyltransferase At1g67980	1.000000	2.803402	1.311203	3.628856	3.533349	3.326166	2.259974
AT4G35110	Phospholipase-like (PEARLI 4) family protein	1.000000	1.313761	0.347513	1.567367	1.706797	1.602281	0.962722
AT4G25720	Glutaminyl-peptide cyclotransferase	1.000000	1.682666	0.644674	1.924208	2.541480	2.436649	1.103061
AT2G23320	Probable WRKY transcription factor 15	1.000000	2.356102	0.484272	2.428907	3.206715	3.247596	1.331393
AT3G14830	AT3G14830 protein	1.000000	1.120548	0.525977	1.146937	1.515846	1.577102	0.779603
AT5G45110	NPR3	1.000000	1.722790	0.539508	1.911820	2.235877	2.647720	1.123691
AT2G47050	Invertase/pectin methylesterase inhibitor family protein	1.000000	1.956709	-0.313360	1.977669	2.842967	3.288433	1.295754
AT4G09820	Transcription factor TT8	1.000000	0.478913	-1.903579	0.643963	1.239370	1.561693	-0.510405
AT5G05730	Anthranilate synthase component I-1	1.000000	1.278140	0.059048	1.064944	1.519165	1.497036	0.953551
AT2G13790	Somatic embryogenesis receptor kinase 4	1.000000	1.103088	-0.092900	0.881863	1.229937	1.458761	0.820756
AT4G18340	Beta-1,3-glucanase-like protein	1.000000	1.654390	0.114501	1.164902	2.457822	2.189030	0.931878
AT5G18400	Anamorsin homolog	1.000000	1.343208	0.361931	1.082132	1.684220	1.547497	0.859038
AT3G61510	1-aminocyclopropane-1-carboxylate synthase-like protein 1	1.000000	4.702397	2.289290	3.974030	5.514441	4.747345	3.427086
AT4G28280	LLG3	1.000000	1.509505	-2.403093	1.053449	3.731834	2.542602	0.681366
AT3G61035	Cytochrome P450 superfamily protein	1.000000	3.064366	-1.591240	1.816300	4.223679	3.193210	1.662150
AT3G55640	Ca-dependent solute carrier-like protein	1.000000	0.920667	0.041832	1.041613	1.452977	1.114790	0.642648
AT3G01970	Probable WRKY transcription factor 45	1.000000	2.237095	-0.247171	2.114081	3.150125	2.386631	1.558654
AT5G03890	Emb|CAB85509.1	1.000000	4.073743	1.021352	3.949132	5.078494	4.492662	2.400661
AT5G48510	BTB/POZ domain-containing protein At5g48510	1.000000	1.536528	-0.572550	1.637312	2.589706	1.758305	0.161027
AT3G17790	PAP17	1.000000	1.303684	-0.735435	1.299671	1.738783	0.971270	-0.033193
AT1G61800	glucose-6-phosphate/phosphate translocator 2	1.000000	3.182161	-0.236967	2.706792	3.975165	2.644779	1.281535
AT1G17180	GSTU25	1.000000	2.819715	0.671468	2.488850	3.016466	2.748839	1.781733
AT5G38100	Probable S-adenosylmethionine-dependent methyltransferase At5g38100	1.000000	4.950030	1.388430	4.589969	5.275372	4.825076	2.595036
AT5G10940	Putative uncharacterized protein At5g10940	1.000000	1.373153	0.251055	1.146412	1.314929	1.222245	0.563035
AT5G46295	Putative uncharacterized protein At5g46295	1.000000	2.827444	0.401342	2.136400	3.214805	2.125090	1.897532
AT3G15355	Probable ubiquitin-conjugating enzyme E2 25	1.000000	1.655482	0.045017	1.042253	1.377673	0.960999	0.756805
AT3G01330	E2F transcription factor-like E2FF	1.000000	-0.553793	-2.014364	-1.269190	-0.580090	-1.011709	-1.489430
AT1G19640	Jasmonate O-methyltransferase	1.000000	1.311669	-1.129381	1.387391	1.480249	1.713509	0.371554
AT2G29150	Tropinone reductase homolog At2g29150	1.000000	5.560393	1.415748	5.127957	5.636393	5.086470	4.078556
AT1G11770	Berberine bridge enzyme-like 2	1.000000	1.818077	-2.374648	1.382107	1.740431	0.956033	0.331302
AT2G20610	S-alkyl-thiohydroximate lyase SUR1	1.000000	1.789680	-0.099685	1.597110	1.763010	1.369051	1.330774
AT4G03320	Tic20-IV	1.000000	2.105576	0.598990	1.764482	1.811440	1.875977	1.364406
AT5G10520	RBK1	1.000000	2.257070	-1.161428	0.839748	1.371884	1.664034	0.552940
AT5G18560	PUCHI	1.000000	1.907966	-1.733695	-0.112173	1.041654	1.243076	-0.159976
AT4G34135	UDP-glucosyl transferase 73B2	1.000000	3.324726	0.244101	1.856195	2.435669	2.861589	1.144126
AT3G51790	At3g51790	1.000000	1.583221	0.096146	0.822031	1.085086	1.369293	0.601646
AT2G32030	At2g32030	1.000000	3.844544	1.384387	2.676515	2.919089	3.167974	1.941490
AT1G61820	Beta-glucosidase 46	1.000000	4.057722	1.068300	3.643705	3.081978	3.953725	1.746132
AT5G48400	Glutamate receptor 1.2	1.000000	2.966366	0.608569	2.820660	2.106719	2.957549	1.146126
AT5G21900	At5g21900	1.000000	4.115473	0.833518	3.624008	3.190016	4.935193	1.175185
AT5G63970	E3 ubiquitin-protein ligase RGLG3	1.000000	2.017367	0.857873	1.803018	1.768659	2.665291	1.266930
AT4G27350	Putative uncharacterized protein AT4g27350	1.000000	2.028122	0.035439	2.065856	1.719491	2.793458	1.066423
AT5G45130	RAB homolog 1	1.000000	1.136274	0.434773	1.108994	0.955885	1.464545	0.813814
AT3G12040	DNA-3-methyladenine glycosylase	1.000000	1.082661	-0.098382	1.056251	0.615254	1.433068	0.487398
AT5G03320	At5g03320	1.000000	1.385588	0.573267	1.229268	1.000662	1.512527	0.884262
AT2G17220	Probable serine/threonine-protein kinase PIX13	1.000000	2.344096	1.306594	2.162909	2.048977	2.531131	1.687989
AT3G52710	Putative uncharacterized protein At3g52710	1.000000	1.538079	0.407392	1.288018	1.152176	1.676148	0.891752
AT5G57060	Putative uncharacterized protein	1.000000	1.427854	0.531504	1.413634	1.017352	1.910306	0.898926
AT2G30140	UDP-glycosyltransferase 87A2	1.000000	4.476668	1.473378	4.124180	4.057682	4.279511	0.641915
AT5G60760	P-loop NTPase domain-containing protein LPA1 homolog 1	1.000000	0.815464	-0.263780	1.273963	1.058390	1.479129	-0.064874
AT1G72540	Putative receptor-like protein kinase At1g72540	1.000000	2.887121	-0.041447	3.169033	3.242905	3.229264	0.462548
AT5G64250	2-nitropropane dioxygenase-like protein	1.000000	4.484195	1.591974	4.464347	4.354495	4.936591	1.710714
AT1G50570	At1g50570	1.000000	1.059579	0.105470	1.209827	1.057492	1.190246	0.386877
AT1G78340	GSTU22	1.000000	1.550444	0.752964	1.721357	1.497706	1.655617	0.882679
AT4G34138	Glycosyltransferase	1.000000	3.147868	1.235678	2.687268	3.525149	3.160124	1.529090
AT4G25670	AT4g25670/L73G19_50	1.000000	1.330124	0.223062	0.956773	1.511290	1.545546	0.296314
AT5G39050	Phenolic glucoside malonyltransferase 1	1.000000	3.420482	1.045979	3.256027	4.320677	4.438905	1.440341
AT2G40113	Pollen Ole e 1 allergen and extensin family protein	1.000000	2.826874	-0.645169	2.216301	2.586913	3.144891	0.033744
AT4G13000	AGC (CAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein	1.000000	4.047215	1.341268	3.260647	3.714717	4.002742	1.803277
AT1G56145	Leucine-rich repeat transmembrane protein kinase	1.000000	1.336787	0.272672	0.959103	1.130268	1.433230	0.320395
AT3G56200	AT3g56200/F18O21_160	1.000000	3.173904	0.361291	2.426778	2.691643	3.574480	0.387161
AT4G31800	WRKY like transcription factor	1.000000	3.107150	1.315903	2.649256	3.144088	3.201655	1.250917
AT2G02010	glutamate decarboxylase 4	1.000000	5.449200	0.691754	2.922345	4.992147	5.530135	1.442634
AT1G68480	Zinc finger protein JAGGED	1.000000	0.788703	-2.370502	-0.700314	0.694758	1.247585	-1.372331
AT1G53110	Proton pump-interactor 4	1.000000	1.440374	0.176783	0.940769	1.560306	1.663060	0.578024
AT4G22305	Carboxylesterase SOBER1	1.000000	2.455163	0.175737	1.692458	2.246461	2.841708	0.970335
AT3G25250	Serine/threonine-protein kinase OXI1	1.000000	3.933477	0.831820	2.979845	3.637231	3.803970	1.767893
AT4G05010	F-box protein At4g05010	1.000000	2.135355	-0.637842	1.017135	1.782208	1.883279	0.427498
AT3G10500	NAC domain-containing protein 53	1.000000	2.772826	0.370309	1.685948	2.275678	3.605473	1.498010
AT4G22590	Probable trehalose-phosphate phosphatase G	1.000000	2.743342	0.695238	1.703396	2.282096	3.968207	1.217231
AT2G43120	RmlC-like cupins superfamily protein	1.000000	2.471284	0.384925	1.273194	2.372767	4.355962	0.974119
AT1G29310	Putative uncharacterized protein At1g29310	1.000000	1.270535	0.301958	0.709159	1.121171	1.812482	0.746334
AT5G11920	Beta-fructofuranosidase, insoluble isoenzyme CWINV6	1.000000	2.681183	0.774125	1.170169	2.164934	3.454378	0.909162
AT3G16330	At3g16330	1.000000	1.193354	0.115599	0.229795	1.011584	2.308201	-0.124910
AT2G33855	At2g33855	1.000000	-0.656025	-1.441386	-1.338927	-0.619713	-0.067128	-1.447330
AT5G54500	Flavodoxin-like quinone reductase 1	1.000000	1.360770	0.829051	0.985299	1.120338	1.653224	1.115252
AT3G62270	Probable boron transporter 2	1.000000	-0.178556	-2.356332	-1.994728	-0.957589	0.808070	-1.346344
AT3G17611	RBL14	1.000000	1.901561	0.273599	1.182587	2.151408	2.540669	1.473594
AT1G76680	12-oxophytodienoate reductase 1	1.000000	2.574398	0.639580	1.649005	2.966603	3.437684	1.955598
AT5G14730	At5g14730	1.000000	1.917633	-0.567967	1.062269	2.065566	2.892394	0.705268
AT4G01870	tolB protein-related	1.000000	3.916732	1.427322	2.829709	4.188398	4.572183	2.692806
AT3G08970	DNAJ heat shock N-terminal domain-containing protein	1.000000	1.587248	0.040762	0.788793	1.753550	2.209301	0.651913
AT2G21620	Dessication responsive protein	1.000000	2.250620	0.507843	0.994726	2.082827	2.383506	1.271209
AT2G22570	NIC1	1.000000	2.682585	0.778686	1.255029	2.237729	2.883963	1.576961
AT2G21630	At2g21630	1.000000	2.069491	0.288890	0.896894	2.177361	2.139522	1.324456
AT1G02750	Protein DEHYDRATION-INDUCED 19 homolog 2	1.000000	1.183773	0.032772	0.512350	1.426841	1.307359	0.878073
AT3G13680	F-box/kelch-repeat protein At3g13680	1.000000	0.991458	-2.088704	-1.306815	1.403833	1.760313	-0.064803
AT4G10040	CYTC-2	1.000000	1.768558	0.110584	1.443815	1.543713	2.737943	1.198871
AT3G15358	Putative uncharacterized protein	1.000000	1.251507	0.737485	1.309631	1.188601	1.614192	1.110762
AT1G75280	Isoflavone reductase homolog P3	1.000000	2.701036	1.523968	2.763115	3.297997	4.366815	2.589160
AT3G55720	Putative uncharacterized protein F1I16_130	1.000000	1.404703	-1.079723	1.389697	1.774198	4.138899	0.782307
AT1G24350	Acid phosphatase/vanadium-dependent haloperoxidase-related protein	1.000000	1.447459	0.646082	1.227365	1.411729	2.186339	1.096560
AT5G12340	Putative uncharacterized protein	1.000000	2.818152	1.414995	1.130428	3.372935	4.995280	1.335487
AT5G20820	At5g20820	1.000000	1.026232	0.085901	-0.853691	1.911310	2.387718	0.156738
AT2G38340	Dehydration-responsive element-binding protein 2E	1.000000	4.481505	1.519327	0.643784	5.367173	7.515474	2.003081
AT2G35700	ERF38	1.000000	1.858802	0.413991	-0.694568	2.456993	3.518252	0.336518
AT5G60700	Putative uncharacterized protein	1.000000	1.711239	0.495018	2.029678	1.524389	3.845536	-0.534402
AT5G64810	Probable WRKY transcription factor 51	1.000000	3.321570	2.280325	3.669465	3.872119	5.112974	0.590050
AT4G18990	Probable xyloglucan endotransglucosylase/hydrolase protein 29	1.000000	4.736116	3.221462	5.016087	4.407363	5.883090	2.477989
AT4G19460	Glycosyltransferase	1.000000	2.790712	1.500489	3.413817	2.998352	4.403736	0.255248
AT3G17660	ARF-GAP domain 15	1.000000	2.357228	1.202530	2.861890	2.596088	3.469455	0.624161
AT1G32350	Ubiquinol oxidase 3, mitochondrial	1.000000	4.994139	3.370209	5.407046	5.317537	6.660115	2.410278
AT3G05200	ATL6	1.000000	2.044702	1.661550	2.463385	2.190756	2.679027	1.182208
AT5G13080	WRKY75	1.000000	4.823195	3.263406	4.790789	4.577692	6.438239	1.825145
